# {"t_start": 1652737398.714988, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,4.471366
-50.0,50,6.094207
-50.0,50,7.50416
-50.0,50,8.909497
-50.0,50,10.333583
-50.0,50,11.773772
-50.0,50,13.173836
-50.0,50,14.584114
-50.0,50,16.022939
-50.0,50,17.427141
-50.0,50,18.867598
-50.0,50,20.271035
-50.0,50,21.725776
-50.0,50,23.168183
-50.0,50,24.614871
-50.0,50,26.052255
-50.0,50,27.493699
-50.0,50,28.908386
-50.0,50,31.325377
-50.0,50,33.289066
-50.0,50,34.81629
-50.0,50,36.262427
-50.0,50,37.789702
-50.0,50,39.292556
-50.0,50,40.807188
-50.0,50,42.35308
-50.0,50,44.005778
-50.0,50,45.5794
-50.0,50,47.167402
-50.0,50,48.670739
-50.0,50,50.167292
-50.0,50,51.698182
-50.0,50,53.342959
-50.0,50,55.00648
-50.0,50,56.480782
-50.0,50,57.903197
-50.0,50,59.327353
-50.0,50,60.741816
-50.0,50,62.171776
-50.0,50,63.565859
-50.0,50,65.00192
-50.0,50,66.688879
-50.0,50,68.230164
0.0,50,69.74479
-50.0,50,71.351457
0.0,50,72.956751
-50.0,50,74.457378
-50.0,50,75.903665
-50.0,50,77.507086
-50.0,50,79.099213
-50.0,50,80.909055
-50.0,50,81.27431
-50.0,50,81.641781
-50.0,50,82.023446
-50.0,50,82.428503
-50.0,50,82.767413
-50.0,50,83.099605
-50.0,50,83.436625
-50.0,50,83.875677
-50.0,50,84.290552
-50.0,50,84.872098
-50.0,50,87.132217
-50.0,50,89.730637
-50.0,50,91.353951
-50.0,50,92.967863
-50.0,50,94.403698
-50.0,50,95.817267
-50.0,50,97.336089
-50.0,50,98.97509
-50.0,50,100.561734
-50.0,50,102.280641
-50.0,50,103.771009
-50.0,50,105.427363
-50.0,50,106.834398
-50.0,50,108.422669
-50.0,50,110.16759
-50.0,50,111.853426
-50.0,50,113.685493
-50.0,50,115.442761
-50.0,50,117.29147
-50.0,50,119.138627
0.0,50,120.824521
-50.0,50,122.398676
-50.0,50,123.971868
-50.0,50,125.530764
-50.0,50,127.193943
-50.0,50,128.760144
-50.0,50,130.366484
-50.0,50,131.842514
-50.0,50,133.268043
-50.0,50,134.927108
-50.0,50,136.50197
-50.0,50,138.06232
-50.0,50,139.735509
-50.0,50,141.961592
-50.0,50,143.898951
-50.0,50,145.636845
-50.0,50,147.378365
-50.0,50,149.083473
-50.0,50,150.700508
-50.0,50,152.289596
-50.0,50,153.836357
-50.0,50,155.32806
-50.0,50,156.867582
-50.0,50,158.359083
-50.0,50,159.806459
-50.0,50,161.27135
-50.0,50,162.729386
-50.0,50,164.156805
-50.0,50,165.577025
-50.0,50,167.006499
-50.0,50,167.318793
-50.0,50,167.634903
-50.0,50,167.946176
-50.0,50,168.266146
-50.0,50,168.577816
-50.0,50,168.898199
-50.0,50,169.232373
0.0,50,169.547721
-50.0,50,169.855663
-50.0,50,170.191343
-50.0,50,171.636721
-50.0,50,173.083889
-50.0,50,174.521712
-50.0,50,175.951859
-50.0,50,177.432408
-50.0,50,179.114119
-50.0,50,180.619652
-50.0,50,182.083766
-50.0,50,183.561024
-50.0,50,185.073757
-50.0,50,186.529693
-50.0,50,187.965674
0.0,50,189.432439
-50.0,50,190.865576
-50.0,50,192.33064
-50.0,50,193.782692
-50.0,50,195.245537
-50.0,50,196.723586
-50.0,50,198.167643
-50.0,50,199.609305
-50.0,50,201.059
-50.0,50,202.508084
-50.0,50,203.94172
0.0,50,205.385183
-50.0,50,206.827069
-50.0,50,208.435444
-50.0,50,209.91317
-50.0,50,211.366398
-50.0,50,212.828334
-50.0,50,214.299079
-50.0,50,215.774012
-50.0,50,217.225606
-50.0,50,218.686899
0.0,50,220.174492
-50.0,50,221.629225
-50.0,50,223.102119
-50.0,50,224.569483
-50.0,50,226.174
-50.0,50,227.798217
-50.0,50,229.34571
-50.0,50,230.944799
-50.0,50,232.633663
-50.0,50,234.404158
-50.0,50,236.075414
-50.0,50,237.815129
-50.0,50,239.672591
-50.0,50,241.628119
-50.0,50,243.436628
-50.0,50,245.022599
-50.0,50,246.731614
-50.0,50,247.084125
-50.0,50,247.394296
-50.0,50,247.705421
-50.0,50,248.043056
-50.0,50,248.367174
-50.0,50,248.682272
-50.0,50,248.99451
-50.0,50,249.336151
-50.0,50,249.737797
-50.0,50,250.115461
-50.0,50,251.850881
-50.0,50,253.556122
-50.0,50,255.361448
-50.0,50,256.855473
-50.0,50,258.346808
-50.0,50,259.858779
-50.0,50,261.360142
-50.0,50,262.849047
-50.0,50,264.388422
-50.0,50,265.890529
-50.0,50,267.396118
-50.0,50,268.89649
-50.0,50,270.58596
-50.0,50,272.090537
-50.0,50,273.600144
-50.0,50,275.327902
-50.0,50,277.863007
