# {"t_start": 1652737399.5230792, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3.65802
-50.0,50,5.283881
-50.0,50,6.693945
-50.0,50,8.095987
-50.0,50,9.539
-50.0,50,10.94685
-50.0,50,12.350986
-50.0,50,13.749552
-50.0,50,15.160395
-50.0,50,16.613554
-50.0,50,18.021859
-50.0,50,19.500243
-50.0,50,20.921249
-50.0,50,22.368533
-50.0,50,23.789936
-50.0,50,25.233239
-50.0,50,26.680798
-50.0,50,28.320309
-50.0,50,30.332343
-50.0,50,32.443668
-50.0,50,34.006084
-50.0,50,35.448056
-50.0,50,36.986574
-50.0,50,38.498874
-50.0,50,39.99878
-50.0,50,41.61537
-50.0,50,43.213894
-50.0,50,44.800314
-50.0,50,46.353725
-50.0,50,47.877215
-50.0,50,49.36251
-50.0,50,50.891816
-50.0,50,52.496315
-50.0,50,54.226689
-50.0,50,55.666247
-50.0,50,57.078148
-50.0,50,58.510682
-50.0,50,59.92612
-50.0,50,61.358557
-50.0,50,62.753802
-50.0,50,64.227432
0.0,50,65.875544
-50.0,50,67.407936
-50.0,50,68.970931
-50.0,50,70.56381
-50.0,50,72.18363
-50.0,50,73.647303
-50.0,50,75.109719
-50.0,50,76.705324
-50.0,50,78.301129
-50.0,50,80.103274
-50.0,50,80.514169
-50.0,50,80.909185
-50.0,50,81.322623
-50.0,50,81.715007
-50.0,50,82.054071
-50.0,50,82.409497
-50.0,50,82.831074
-50.0,50,83.344382
-50.0,50,83.646292
-50.0,50,84.079661
-50.0,50,86.496403
-50.0,50,88.99455
-50.0,50,90.562855
-50.0,50,92.146884
-50.0,50,93.585088
-50.0,50,95.011454
-50.0,50,96.53905
-50.0,50,98.16806
-50.0,50,99.766198
-50.0,50,101.493612
-50.0,50,102.994184
-50.0,50,104.599049
-50.0,50,106.020919
-50.0,50,107.621189
-50.0,50,109.404134
-50.0,50,111.090226
-50.0,50,112.948098
-50.0,50,114.770637
-50.0,50,116.481135
-50.0,50,118.407749
-50.0,50,120.001829
-50.0,50,121.58598
-50.0,50,123.175392
-50.0,50,124.737107
-50.0,50,126.383093
-50.0,50,127.986315
-50.0,50,129.56967
-50.0,50,131.045146
-50.0,50,132.458458
-50.0,50,134.15103
-50.0,50,135.684077
-50.0,50,137.245488
-50.0,50,138.953074
-50.0,50,141.101887
-50.0,50,143.098098
-50.0,50,144.850242
-50.0,50,146.594531
-50.0,50,148.286404
0.0,50,149.903938
-50.0,50,151.519981
-50.0,50,153.030732
-50.0,50,154.534671
-50.0,50,156.086365
-50.0,50,157.537894
-50.0,50,159.009311
-50.0,50,160.446081
-13.0,50,161.910285
-50.0,50,163.341572
-50.0,50,164.761307
-50.0,50,166.193991
-50.0,50,166.490798
-50.0,50,166.790933
-50.0,50,167.098048
-50.0,50,167.408816
-50.0,50,167.726606
-50.0,50,168.031822
-50.0,50,168.346732
-50.0,50,168.649537
-50.0,50,168.958935
-50.0,50,169.361847
-50.0,50,170.838942
-50.0,50,172.277007
0.0,50,173.707117
-50.0,50,175.137429
-50.0,50,176.646636
-50.0,50,178.318902
-50.0,50,179.807595
-50.0,50,181.246561
0.0,50,182.761849
-50.0,50,184.278315
-50.0,50,185.723073
-50.0,50,187.153363
-50.0,50,188.618953
-50.0,50,190.068052
-50.0,50,191.507068
-50.0,50,192.979304
-50.0,50,194.432917
-50.0,50,195.886617
-50.0,50,197.340561
-50.0,50,198.786393
-50.0,50,200.245426
-50.0,50,201.695985
-50.0,50,203.129088
-50.0,50,204.584875
-50.0,50,206.013264
-50.0,50,207.613676
-50.0,50,209.111953
-50.0,50,210.559509
-50.0,50,212.002301
-50.0,50,213.495446
-50.0,50,214.949133
-50.0,50,216.421055
-50.0,50,217.875867
-50.0,50,219.338299
-50.0,50,220.832008
-50.0,50,222.282367
-50.0,50,223.746443
-50.0,50,225.401041
-50.0,50,227.000878
-50.0,50,228.529426
-50.0,50,230.140146
-50.0,50,231.838203
-50.0,50,233.610265
-50.0,50,235.282656
-50.0,50,237.017674
-50.0,50,238.849299
-50.0,50,240.847239
-50.0,50,242.621331
-50.0,50,244.241349
-50.0,50,245.91253
-50.0,50,246.225205
-50.0,50,246.555085
-50.0,50,246.858288
-50.0,50,247.18846
-50.0,50,247.497645
-50.0,50,247.803325
-50.0,50,248.118196
-50.0,50,248.431599
-50.0,50,248.874551
-50.0,50,249.306912
-50.0,50,251.066175
-50.0,50,252.760532
-50.0,50,254.542021
-50.0,50,256.041297
-50.0,50,257.530181
-50.0,50,259.033429
-50.0,50,260.54265
-50.0,50,262.045903
-50.0,50,263.573719
-50.0,50,265.071404
-50.0,50,266.583529
-50.0,50,268.070141
-50.0,50,269.774908
-50.0,50,271.28144
-50.0,50,272.77349
-50.0,50,274.506634
-50.0,50,277.03855
-50.0,50,278.881853
-50.0,50,280.655155
-50.0,50,282.842972
-50.0,50,284.550332
-50.0,50,286.388956
-50.0,50,288.470455
-50.0,50,290.266799
-50.0,50,291.798922
-50.0,50,293.309797
-50.0,50,294.829761
-50.0,50,296.397768
-50.0,50,297.996912
-50.0,50,299.782507
-50.0,50,301.388674
-50.0,50,303.010048
-50.0,50,304.54157
-50.0,50,306.086686
-50.0,50,307.637363
-50.0,50,309.194124
-50.0,50,310.738639
-50.0,50,312.274534
-50.0,50,313.827014
-50.0,50,315.378517
-50.0,50,316.929202
-50.0,50,318.514818
-50.0,50,320.085623
-50.0,50,321.622248
-50.0,50,323.17892
-50.0,50,324.734529
-50.0,50,326.309733
-50.0,50,327.830368
-50.0,50,329.595426
-50.0,50,331.169001
-50.0,50,331.489074
-50.0,50,331.816089
-50.0,50,332.134426
-50.0,50,332.437524
-50.0,50,332.755719
-50.0,50,333.103763
-50.0,50,333.406346
-50.0,50,333.714864
-50.0,50,334.014621
-50.0,50,334.356511
-50.0,50,335.941362
-50.0,50,337.50044
-50.0,50,339.049889
-50.0,50,340.586466
-50.0,50,342.145129
-50.0,50,343.702649
-50.0,50,345.225825
-50.0,50,346.805265
-50.0,50,348.33401
-50.0,50,349.879191
-50.0,50,351.441278
-50.0,50,352.986549
-50.0,50,354.522191
-50.0,50,356.095011
-50.0,50,357.638195
-50.0,50,359.364236
-50.0,50,360.91868
-50.0,50,362.489282
-50.0,50,364.058579
-50.0,50,365.63238
-50.0,50,367.166405
-50.0,50,368.760133
-50.0,50,370.326948
-50.0,50,371.868624
-50.0,50,373.446065
-50.0,50,374.997804
-50.0,50,376.569026
-50.0,50,378.133157
-50.0,50,379.712643
-50.0,50,381.276861
-50.0,50,382.870406
-50.0,50,384.450707
-50.0,50,385.988593
-50.0,50,387.562157
-50.0,50,389.330185
-50.0,50,390.897373
-50.0,50,392.467002
-50.0,50,394.036769
-50.0,50,395.58366
-50.0,50,397.166186
-50.0,50,398.726787
-50.0,50,400.298682
-50.0,50,401.841814
-50.0,50,403.387794
-50.0,50,404.95859
-50.0,50,406.528298
-50.0,50,408.084996
-50.0,50,409.698133
-50.0,50,411.273916
-50.0,50,412.844077
-50.0,50,413.157757
-50.0,50,413.481875
-50.0,50,413.784421
-50.0,50,414.118415
-50.0,50,414.436607
-50.0,50,414.782343
-50.0,50,415.085198
-50.0,50,415.403125
-50.0,50,415.705055
-50.0,50,416.026118
-50.0,50,417.61585
-50.0,50,419.338581
-50.0,50,420.906899
-50.0,50,422.53431
-50.0,50,424.0984
-50.0,50,425.665428
-50.0,50,427.231325
-50.0,50,428.831113
-50.0,50,430.424732
0.0,50,431.999153
-50.0,50,433.586188
-50.0,50,435.169565
-50.0,50,436.757621
-50.0,50,438.354527
-50.0,50,439.94311
-50.0,50,441.529488
-50.0,50,443.121266
-50.0,50,444.688715
-50.0,50,446.251133
-50.0,50,447.845534
-50.0,50,449.575147
-50.0,50,451.189687
-50.0,50,452.779567
-50.0,50,454.382043
-50.0,50,455.982666
-50.0,50,457.566658
-50.0,50,459.149831
-50.0,50,460.762154
-50.0,50,462.343019
-50.0,50,463.933938
-50.0,50,465.517418
-50.0,50,467.116424
-50.0,50,468.678693
-50.0,50,470.295092
-50.0,50,471.882457
0.0,50,473.472793
-50.0,50,475.080451
-50.0,50,476.692192
-50.0,50,478.486666
-50.0,50,480.076494
-50.0,50,481.662751
0.0,50,483.258272
-50.0,50,484.853682
-50.0,50,486.44849
-50.0,50,488.030176
-50.0,50,489.623566
-50.0,50,491.216517
-50.0,50,492.804972
-50.0,50,494.379232
-50.0,50,495.998344
0.0,50,496.313974
-50.0,50,496.620871
-50.0,50,496.927498
-50.0,50,497.242582
-50.0,50,497.545935
-50.0,50,497.851315
-50.0,50,498.162221
-50.0,50,498.468438
-50.0,50,498.785993
-50.0,50,499.202902
-50.0,50,500.80543
-50.0,50,502.406706
-50.0,50,504.006441
-50.0,50,505.587288
-50.0,50,507.178281
-50.0,50,508.965501
-50.0,50,510.585951
-50.0,50,512.170282
-50.0,50,513.818135
-50.0,50,515.41748
-50.0,50,517.003034
-50.0,50,518.596781
-50.0,50,520.202589
-50.0,50,521.798464
-50.0,50,523.377156
-50.0,50,525.016338
-50.0,50,526.610963
-50.0,50,528.20916
-50.0,50,529.790271
-50.0,50,531.425781
-50.0,50,533.047596
-50.0,50,534.613679
-50.0,50,536.201997
-50.0,50,537.794271
-50.0,50,539.621024
-50.0,50,541.202224
-50.0,50,542.817209
-50.0,50,544.401259
-50.0,50,545.983601
-50.0,50,547.55949
-50.0,50,549.194742
-50.0,50,550.794868
-50.0,50,552.402936
-50.0,50,553.986789
-50.0,50,555.578218
-50.0,50,557.215169
-50.0,50,558.834233
-50.0,50,560.45724
-50.0,50,562.04261
-50.0,50,563.694368
-50.0,50,565.328414
-50.0,50,566.926159
-50.0,50,568.74079
-50.0,50,570.322241
-50.0,50,571.933592
-50.0,50,573.54875
-50.0,50,575.171862
-50.0,50,576.73885
-50.0,50,578.332971
-50.0,50,579.922259
-50.0,50,580.263555
-50.0,50,580.605339
-50.0,50,580.909514
-50.0,50,581.243236
0.0,50,581.555679
-50.0,50,581.876805
-50.0,50,582.212637
-50.0,50,582.5421
-50.0,50,582.856336
-50.0,50,583.249906
0.0,50,584.846275
-50.0,50,586.441117
-50.0,50,588.069398
-50.0,50,589.686722
-50.0,50,591.437164
-50.0,50,593.1608
-50.0,50,594.849452
-50.0,50,596.549791
-50.0,50,598.331247
-50.0,50,600.24952
-50.0,50,601.911217
-50.0,50,603.547716
-50.0,50,605.151264
-50.0,50,606.762451
-50.0,50,608.374099
-50.0,50,609.994504
-50.0,50,611.601551
-50.0,50,613.195425
-50.0,50,614.824568
-50.0,50,616.412236
-50.0,50,617.993029
-50.0,50,619.620296
-50.0,50,621.223828
-50.0,50,622.81773
-50.0,50,624.424958
-50.0,50,626.021783
-50.0,50,627.636513
-50.0,50,629.30543
-50.0,50,630.964558
-50.0,50,632.622711
-50.0,50,634.245651
-50.0,50,635.844245
-50.0,50,637.432055
-50.0,50,639.069414
-50.0,50,640.66909
-50.0,50,642.27681
-50.0,50,643.884624
-50.0,50,645.492808
-50.0,50,647.085453
-50.0,50,648.730505
-50.0,50,650.323458
-50.0,50,651.931491
-50.0,50,653.519149
-50.0,50,655.123355
-50.0,50,656.716076
-50.0,50,658.470284
-50.0,50,660.064092
-50.0,50,661.642854
-50.0,50,663.237371
-50.0,50,664.833453
-50.0,50,665.150898
-50.0,50,665.449893
-50.0,50,665.788258
-50.0,50,666.168011
-50.0,50,666.486907
-50.0,50,666.81159
-50.0,50,667.156583
-50.0,50,667.494866
-50.0,50,667.850034
-50.0,50,668.169593
0.0,50,669.745593
-50.0,50,671.338453
-50.0,50,672.941805
-50.0,50,674.547882
-50.0,50,676.141066
-50.0,50,677.738417
-50.0,50,679.33674
-50.0,50,680.92965
-50.0,50,682.532411
-50.0,50,684.122034
-50.0,50,685.721984
-50.0,50,687.338139
-50.0,50,689.118457
0.0,50,690.706438
-50.0,50,692.310452
-50.0,50,693.930596
-50.0,50,695.518838
-50.0,50,697.108695
-50.0,50,698.745576
-50.0,50,700.332059
-50.0,50,701.987033
-50.0,50,703.595231
-50.0,50,705.226917
-50.0,50,706.843092
0.0,50,708.473729
-50.0,50,710.06548
0.0,50,711.692627
-50.0,50,713.306312
-50.0,50,714.908926
-50.0,50,716.500935
-50.0,50,718.163887
-50.0,50,719.904539
-50.0,50,721.485223
-50.0,50,723.10617
-50.0,50,724.74013
-50.0,50,726.352719
-50.0,50,727.984569
-50.0,50,729.591756
-50.0,50,731.178818
-50.0,50,732.79674
-50.0,50,734.414579
-50.0,50,736.020716
-50.0,50,737.609982
-50.0,50,739.209424
-50.0,50,740.81008
-50.0,50,742.403021
-50.0,50,743.993123
0.0,50,745.593337
-50.0,50,747.246374
-50.0,50,748.933256
-50.0,50,749.265221
-50.0,50,749.60763
-50.0,50,749.950449
-50.0,50,750.262757
-50.0,50,750.575584
-50.0,50,750.908113
0.0,50,751.262326
-50.0,50,751.56355
-50.0,50,751.873332
-50.0,50,752.235686
-50.0,50,753.823469
-50.0,50,755.442147
-50.0,50,757.0349
