# {"t_start": 1652737399.948057, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3.239275
-50.0,50,4.860218
-50.0,50,6.270759
-50.0,50,7.680179
-50.0,50,9.096397
-50.0,50,10.54181
-50.0,50,11.940768
-50.0,50,13.353816
-50.0,50,14.793559
-50.0,50,16.193537
-50.0,50,17.635702
-50.0,50,19.038381
-50.0,50,20.496283
-50.0,50,21.935789
-50.0,50,23.381213
-50.0,50,24.82136
-50.0,50,26.260143
-50.0,50,27.674791
-50.0,50,30.086008
-50.0,50,32.057095
-50.0,50,33.583678
-50.0,50,35.032593
-50.0,50,36.560262
-50.0,50,38.058661
-50.0,50,39.57601
-50.0,50,41.124904
-50.0,50,42.774847
-50.0,50,44.346332
-50.0,50,45.933828
-50.0,50,47.437894
-50.0,50,48.938488
-50.0,50,50.464793
-50.0,50,52.112796
-50.0,50,53.773424
-50.0,50,55.247478
-50.0,50,56.670721
-50.0,50,58.093435
-50.0,50,59.507201
-50.0,50,60.938959
-50.0,50,62.332244
-50.0,50,63.771613
-50.0,50,65.455197
-50.0,50,66.997728
-50.0,50,68.515928
-50.0,50,70.118508
-50.0,50,71.725951
-50.0,50,73.227837
-50.0,50,74.672891
-50.0,50,76.277081
-50.0,50,77.866374
-50.0,50,79.675302
0.0,50,80.041646
-50.0,50,80.409296
-50.0,50,80.794137
-50.0,50,81.199687
-50.0,50,81.533867
-50.0,50,81.86602
-50.0,50,82.208602
-50.0,50,82.645346
-50.0,50,83.060619
-50.0,50,83.639075
-50.0,50,85.894554
-50.0,50,88.497547
-50.0,50,90.121774
-50.0,50,91.737278
-50.0,50,93.170162
-50.0,50,94.585011
-50.0,50,96.102331
-50.0,50,97.744994
-50.0,50,99.328666
-50.0,50,101.046773
-50.0,50,102.53741
-50.0,50,104.194793
-50.0,50,105.601655
-50.0,50,107.189792
-50.0,50,108.937026
-50.0,50,110.621909
-50.0,50,112.447951
-50.0,50,114.20601
-50.0,50,116.05823
-50.0,50,117.905559
-50.0,50,119.592644
-50.0,50,121.16898
-50.0,50,122.745711
-50.0,50,124.297365
-50.0,50,125.965393
-50.0,50,127.527217
-50.0,50,129.132709
-50.0,50,130.612669
-50.0,50,132.034253
-50.0,50,133.694803
-50.0,50,135.269673
-50.0,50,136.829082
-50.0,50,138.505636
-50.0,50,140.726427
-50.0,50,142.665383
-50.0,50,144.406393
-50.0,50,146.145697
-50.0,50,147.85058
-50.0,50,149.466488
-50.0,50,151.056359
-50.0,50,152.60213
-50.0,50,154.095351
-50.0,50,155.634804
-50.0,50,157.125458
-50.0,50,158.573692
-50.0,50,160.038147
0.0,50,161.500795
-50.0,50,162.926913
-50.0,50,164.345663
-50.0,50,165.774782
-50.0,50,166.086817
-50.0,50,166.402131
-50.0,50,166.716329
-50.0,50,167.033253
-50.0,50,167.348428
-50.0,50,167.665406
-50.0,50,167.997947
-50.0,50,168.314643
-50.0,50,168.62242
-50.0,50,168.960965
-50.0,50,170.403625
-50.0,50,171.854827
-50.0,50,173.290035
-50.0,50,174.718252
-50.0,50,176.198989
-50.0,50,177.88312
0.0,50,179.386466
-50.0,50,180.853606
0.0,50,182.33156
-50.0,50,183.840043
-50.0,50,185.296625
-50.0,50,186.736353
-50.0,50,188.199425
-50.0,50,189.635762
-50.0,50,191.101311
-50.0,50,192.549586
-50.0,50,194.015847
-50.0,50,195.491035
-50.0,50,196.934317
-50.0,50,198.378383
-50.0,50,199.825799
-50.0,50,201.275644
-50.0,50,202.712363
-50.0,50,204.151657
-50.0,50,205.596961
-50.0,50,207.205618
-50.0,50,208.679426
-50.0,50,210.133576
-50.0,50,211.595264
-50.0,50,213.066325
-50.0,50,214.540945
-50.0,50,215.993093
-50.0,50,217.452766
-50.0,50,218.945074
-50.0,50,220.395961
-50.0,50,221.86917
-50.0,50,223.335737
-50.0,50,224.939399
-50.0,50,226.563526
-50.0,50,228.115864
-50.0,50,229.714124
-50.0,50,231.404372
-50.0,50,233.172152
-50.0,50,234.84507
-50.0,50,236.577301
-50.0,50,238.441696
-50.0,50,240.397662
-50.0,50,242.206349
-50.0,50,243.790402
-50.0,50,245.499065
-50.0,50,245.850679
-50.0,50,246.160979
-50.0,50,246.475513
-50.0,50,246.810611
-50.0,50,247.13427
-50.0,50,247.449042
-50.0,50,247.764647
-50.0,50,248.100132
-50.0,50,248.50473
-50.0,50,248.882207
-50.0,50,250.616258
-50.0,50,252.322686
-50.0,50,254.128568
-50.0,50,255.622716
-50.0,50,257.113415
-50.0,50,258.628694
-50.0,50,260.129478
-50.0,50,261.620069
-50.0,50,263.154927
-50.0,50,264.659069
-50.0,50,266.16305
-50.0,50,267.663947
-50.0,50,269.354063
-50.0,50,270.85747
-50.0,50,272.366247
-50.0,50,274.095272
-50.0,50,276.629939
-50.0,50,278.442915
-50.0,50,280.200006
-50.0,50,282.378863
-50.0,50,284.129321
-50.0,50,285.925818
-50.0,50,287.996986
-50.0,50,289.843202
-50.0,50,291.382832
-50.0,50,292.898191
-50.0,50,294.409678
-50.0,50,295.976516
-50.0,50,297.589432
-50.0,50,299.356271
-50.0,50,300.993248
-50.0,50,302.579738
-50.0,50,304.125303
