# {"t_start": 1652785594.4561775, "env_id": "FetchPush-v1"} 
r,l,t
-50.0,50,4.556251
-50.0,50,6.247802
-50.0,50,7.883735
-50.0,50,9.717646
-50.0,50,11.488249
-50.0,50,13.152818
-50.0,50,14.866117
-50.0,50,16.720036
-50.0,50,18.398342
-50.0,50,19.912215
-50.0,50,21.475056
-50.0,50,24.028771
-50.0,50,26.42034
-50.0,50,28.921119
-50.0,50,31.292834
-50.0,50,32.984969
-50.0,50,34.796302
-50.0,50,36.433871
-50.0,50,38.686226
-50.0,50,41.405261
-50.0,50,43.751161
-50.0,50,45.379626
-50.0,50,47.125096
-50.0,50,48.691523
-50.0,50,50.369015
0.0,50,52.078764
-50.0,50,54.455872
-50.0,50,56.201119
-50.0,50,57.775244
-50.0,50,59.324553
-50.0,50,60.932343
-50.0,50,62.59788
-50.0,50,64.405856
-50.0,50,66.08921
-50.0,50,67.884368
-50.0,50,69.797598
-50.0,50,71.908056
-50.0,50,73.754399
-50.0,50,75.393526
-50.0,50,77.429329
-50.0,50,79.375043
-50.0,50,80.909572
-50.0,50,82.366
-50.0,50,83.837579
-50.0,50,85.292596
-50.0,50,86.759396
-50.0,50,88.344359
0.0,50,89.96585
-50.0,50,91.422177
-50.0,50,92.888786
0.0,50,94.382937
-50.0,50,94.725732
-50.0,50,95.088449
-50.0,50,95.613199
-50.0,50,96.047571
-50.0,50,96.392626
-50.0,50,96.808965
-50.0,50,97.251355
-50.0,50,97.593517
-50.0,50,97.929118
-50.0,50,98.467106
0.0,50,99.938149
-50.0,50,101.464424
-50.0,50,103.434704
-50.0,50,105.653687
-50.0,50,107.335998
-50.0,50,109.471696
-50.0,50,111.06018
-50.0,50,112.60653
-50.0,50,114.663869
-50.0,50,117.218253
-50.0,50,119.101346
-50.0,50,120.803775
0.0,50,122.839255
-50.0,50,125.315937
-50.0,50,127.977072
-50.0,50,129.997046
-50.0,50,131.695376
-50.0,50,133.403135
-50.0,50,135.909159
-50.0,50,137.852448
-50.0,50,139.70535
-50.0,50,141.484235
0.0,50,143.420377
-50.0,50,144.922112
-50.0,50,146.785519
-50.0,50,148.553559
-50.0,50,150.516241
-50.0,50,152.383321
-50.0,50,154.403027
-50.0,50,156.332948
-50.0,50,158.390927
-9.0,50,160.335902
-50.0,50,162.218746
0.0,50,163.732688
-50.0,50,165.226231
-50.0,50,166.728141
-50.0,50,168.225345
-50.0,50,169.721627
-50.0,50,171.209582
-50.0,50,172.745795
-50.0,50,174.275624
-50.0,50,176.102804
-50.0,50,178.159171
-50.0,50,180.625309
0.0,50,182.44826
-50.0,50,184.171373
-50.0,50,186.084898
-50.0,50,187.945144
-50.0,50,189.48374
0.0,50,191.148355
-50.0,50,191.543342
-50.0,50,192.188681
-50.0,50,192.565714
-50.0,50,192.975855
-50.0,50,193.364084
0.0,50,193.804545
-50.0,50,194.160275
-50.0,50,194.511599
-50.0,50,194.844528
-50.0,50,195.184354
0.0,50,196.925695
-50.0,50,198.600313
-50.0,50,200.328663
-50.0,50,201.937195
-50.0,50,203.45978
-50.0,50,205.247768
-50.0,50,206.894487
0.0,50,208.53143
-50.0,50,210.400119
-50.0,50,212.094631
-50.0,50,213.641346
-50.0,50,215.393476
-50.0,50,216.984215
-50.0,50,219.006162
-50.0,50,221.474262
-50.0,50,223.372908
-50.0,50,224.929865
-50.0,50,226.481673
-50.0,50,228.073118
-50.0,50,229.617611
-50.0,50,231.195282
-50.0,50,232.755064
-50.0,50,234.337073
-50.0,50,235.899133
-50.0,50,237.462141
-50.0,50,239.019562
-50.0,50,240.555516
-50.0,50,242.147698
-50.0,50,243.712147
-50.0,50,245.279315
-50.0,50,246.843434
-50.0,50,248.6327
-50.0,50,250.189326
-50.0,50,251.758765
-50.0,50,253.351704
-50.0,50,254.916318
-50.0,50,256.478155
-50.0,50,258.049257
0.0,50,259.650411
-50.0,50,261.206123
-50.0,50,262.77734
0.0,50,264.354679
-50.0,50,265.976354
-50.0,50,267.550766
-50.0,50,269.140941
-50.0,50,270.700786
-50.0,50,272.29901
-50.0,50,273.914843
-50.0,50,275.496846
-50.0,50,277.116194
-50.0,50,277.535407
-50.0,50,277.989399
-50.0,50,278.311049
-50.0,50,278.636446
-50.0,50,278.971212
-50.0,50,279.328444
-50.0,50,279.673712
-50.0,50,280.007428
-50.0,50,280.348738
-50.0,50,280.67487
-50.0,50,282.280489
-50.0,50,283.879442
0.0,50,285.469533
-50.0,50,287.076586
-50.0,50,288.684659
-50.0,50,290.26622
-50.0,50,291.901974
-50.0,50,293.50994
-50.0,50,295.107965
-50.0,50,296.739868
-50.0,50,298.35465
-50.0,50,299.960903
-50.0,50,301.55116
-50.0,50,303.143489
-50.0,50,304.750473
0.0,50,306.376805
-50.0,50,308.176336
-50.0,50,309.818072
-50.0,50,311.428744
-50.0,50,313.048894
-50.0,50,314.66301
-50.0,50,316.263858
-50.0,50,317.900199
-50.0,50,319.502707
-50.0,50,321.11381
-50.0,50,322.720073
-50.0,50,324.316773
-50.0,50,325.908263
-50.0,50,327.543568
-50.0,50,329.175078
-50.0,50,330.787849
-50.0,50,332.411688
-50.0,50,334.043769
-50.0,50,335.681424
-50.0,50,337.292701
-50.0,50,339.117091
-50.0,50,340.735687
-50.0,50,342.359946
0.0,50,343.965089
-50.0,50,345.589933
-50.0,50,347.211841
-50.0,50,348.86468
-50.0,50,350.497758
-50.0,50,352.125426
-50.0,50,353.761848
-50.0,50,355.391526
-50.0,50,357.020598
-50.0,50,358.711825
-50.0,50,360.3298
-50.0,50,361.963268
-50.0,50,362.284051
-50.0,50,362.607661
-50.0,50,362.929206
-50.0,50,363.271951
-50.0,50,363.594818
-50.0,50,363.92807
-50.0,50,364.25189
-50.0,50,364.58251
-50.0,50,364.939853
-50.0,50,365.42989
-50.0,50,367.078981
-50.0,50,368.879547
-50.0,50,370.524155
-50.0,50,372.181005
-50.0,50,373.823467
-50.0,50,375.491177
-50.0,50,377.131609
-50.0,50,378.74666
-50.0,50,380.370084
0.0,50,382.028302
-50.0,50,383.659607
-50.0,50,385.27901
-50.0,50,386.926452
-50.0,50,388.564734
-50.0,50,390.198935
-50.0,50,391.854066
-50.0,50,393.501377
-50.0,50,395.130463
-50.0,50,396.754094
0.0,50,398.571891
-50.0,50,400.206437
-50.0,50,401.85192
-50.0,50,403.4828
-50.0,50,405.15736
-50.0,50,406.785682
-50.0,50,408.427333
0.0,50,410.052181
-50.0,50,411.671566
-50.0,50,413.325056
-50.0,50,414.964138
-50.0,50,416.60331
-50.0,50,418.277022
-50.0,50,419.938932
-50.0,50,421.580804
-50.0,50,423.212654
-50.0,50,424.863437
0.0,50,426.544534
-50.0,50,428.401151
-50.0,50,430.065905
-50.0,50,431.716182
-50.0,50,433.37749
-50.0,50,435.031393
-50.0,50,436.667241
-50.0,50,438.335066
-50.0,50,439.975569
-50.0,50,441.621327
-50.0,50,443.269197
-50.0,50,444.922611
-50.0,50,446.615411
0.0,50,448.308884
-50.0,50,448.638266
-50.0,50,448.986248
-50.0,50,449.351726
-50.0,50,449.685436
-50.0,50,450.055691
-50.0,50,450.379333
-3.0,50,450.714461
-50.0,50,451.035235
-50.0,50,451.376375
-50.0,50,451.83188
-50.0,50,453.48221
-50.0,50,455.18013
-50.0,50,456.82273
-50.0,50,458.647892
-50.0,50,460.290977
-50.0,50,461.924054
-50.0,50,463.568346
-50.0,50,465.238066
-38.0,50,466.877662
-50.0,50,468.515258
-50.0,50,470.175586
-50.0,50,471.830998
-50.0,50,473.531842
0.0,50,475.16298
0.0,50,476.789584
-50.0,50,478.488322
-50.0,50,480.139716
-50.0,50,481.769574
0.0,50,483.411172
0.0,50,485.086882
-50.0,50,486.738813
-50.0,50,488.584266
-50.0,50,490.246534
-50.0,50,491.897084
-50.0,50,493.568045
-50.0,50,495.199409
-50.0,50,496.83034
-50.0,50,498.507337
0.0,50,500.216233
-50.0,50,501.854833
-50.0,50,503.521915
-50.0,50,505.171264
