# {"t_start": 1652785594.666931, "env_id": "FetchPush-v1"} 
r,l,t
-50.0,50,4.347499
-50.0,50,6.037985
-50.0,50,7.674382
-50.0,50,9.533965
-50.0,50,11.287334
-50.0,50,12.937432
-50.0,50,14.709384
-50.0,50,16.458255
-50.0,50,18.184005
-50.0,50,19.72993
-50.0,50,21.522965
-50.0,50,23.789833
-50.0,50,26.159416
-50.0,50,28.819233
-50.0,50,31.233589
0.0,50,32.782102
-50.0,50,34.577065
-50.0,50,36.259591
-50.0,50,38.323075
-50.0,50,41.087779
-50.0,50,43.584891
-50.0,50,45.212567
-50.0,50,46.926387
-50.0,50,48.49277
-50.0,50,50.143943
-50.0,50,51.951643
-50.0,50,54.282258
-50.0,50,56.041055
-50.0,50,57.569171
-50.0,50,59.147084
-50.0,50,60.747852
-50.0,50,62.406816
-50.0,50,64.165061
-50.0,50,65.896595
-50.0,50,67.709885
-50.0,50,69.639354
-50.0,50,71.722108
-50.0,50,73.58544
-50.0,50,75.234009
-50.0,50,77.24739
-50.0,50,79.194598
-50.0,50,80.688397
-50.0,50,82.156683
-50.0,50,83.625399
-50.0,50,85.078365
0.0,50,86.539979
-50.0,50,88.178617
-50.0,50,89.753503
-50.0,50,91.223544
-50.0,50,92.689901
0.0,50,94.179631
-50.0,50,94.505961
-50.0,50,94.859186
-50.0,50,95.412557
0.0,50,95.915306
0.0,50,96.287802
-50.0,50,96.81964
-50.0,50,97.224741
0.0,50,97.565863
-50.0,50,97.887692
0.0,50,98.262919
-50.0,50,99.736627
-50.0,50,101.254749
-50.0,50,103.279253
-50.0,50,105.459005
-50.0,50,107.096706
-50.0,50,109.160464
-50.0,50,110.846129
-50.0,50,112.416917
-50.0,50,114.570812
-50.0,50,117.060251
-50.0,50,118.909436
-50.0,50,120.620429
-50.0,50,122.649451
0.0,50,125.098897
-50.0,50,127.811611
-50.0,50,129.860019
-50.0,50,131.512877
-50.0,50,133.219869
-50.0,50,135.664477
