# {"t_start": 1652785593.639881, "env_id": "FetchPush-v1"} 
r,l,t
-50.0,50,5.376757
-50.0,50,7.068437
0.0,50,8.705577
-50.0,50,10.563497
-50.0,50,12.314555
-50.0,50,13.964752
-50.0,50,15.739063
-50.0,50,17.485305
-50.0,50,19.216373
-50.0,50,20.759781
-50.0,50,22.542697
-50.0,50,24.81767
-50.0,50,27.19386
-50.0,50,29.841159
-50.0,50,32.261308
-50.0,50,33.809776
-50.0,50,35.607592
-50.0,50,37.287527
-50.0,50,39.349416
-50.0,50,42.11957
-50.0,50,44.610565
-50.0,50,46.243623
-50.0,50,47.953601
-50.0,50,49.520862
-50.0,50,51.172303
-50.0,50,52.983774
-50.0,50,55.308541
-50.0,50,57.062506
-50.0,50,58.599409
0.0,50,60.170979
-50.0,50,61.774496
-50.0,50,63.431635
-50.0,50,65.192684
-50.0,50,66.925618
-50.0,50,68.738179
-50.0,50,70.662713
-50.0,50,72.752436
-50.0,50,74.612451
-50.0,50,76.258216
-50.0,50,78.280782
-50.0,50,80.220914
-50.0,50,81.718871
-50.0,50,83.183733
-50.0,50,84.65234
-50.0,50,86.108411
-50.0,50,87.568403
-50.0,50,89.207461
-50.0,50,90.783736
0.0,50,92.250837
-50.0,50,93.719991
0.0,50,95.208671
-50.0,50,95.533294
-50.0,50,95.890326
-50.0,50,96.443853
-50.0,50,96.945426
-50.0,50,97.312842
-50.0,50,97.842421
-50.0,50,98.25225
-50.0,50,98.592148
-50.0,50,98.914743
-50.0,50,99.290528
-50.0,50,100.763677
-50.0,50,102.275334
-50.0,50,104.314299
-50.0,50,106.480183
-50.0,50,108.127157
-37.0,50,110.187891
0.0,50,111.873562
-50.0,50,113.444628
-50.0,50,115.60081
-50.0,50,118.085399
-50.0,50,119.937676
-50.0,50,121.646538
-50.0,50,123.675833
-50.0,50,126.124152
-50.0,50,128.831004
-50.0,50,130.890818
-50.0,50,132.544406
-50.0,50,134.251107
-50.0,50,136.691003
-50.0,50,138.713952
-50.0,50,140.554119
-50.0,50,142.325888
-3.0,50,144.249111
-50.0,50,145.741599
-50.0,50,147.61185
-50.0,50,149.431726
-50.0,50,151.378712
