# {"t_start": 1652775713.7879922, "env_id": "FetchReach-v1"} 
r,l,t
-8.0,50,193.713735
-17.0,50,195.192498
-16.0,50,196.554147
-7.0,50,197.912536
-14.0,50,199.532013
-16.0,50,200.938854
0.0,50,202.42926
-1.0,50,202.603112
0.0,50,202.799485
0.0,50,202.96624
-3.0,50,203.152071
-2.0,50,203.313757
0.0,50,203.465673
-3.0,50,203.621704
-2.0,50,203.77643
0.0,50,203.922159
-6.0,50,204.083092
-11.0,50,205.423528
-18.0,50,206.731761
-13.0,50,208.010268
-19.0,50,209.422773
-12.0,50,210.893751
-7.0,50,212.182242
-13.0,50,213.58863
-7.0,50,214.898686
-8.0,50,216.270824
0.0,50,217.841875
-2.0,50,218.037091
-1.0,50,218.184037
-2.0,50,218.331327
-2.0,50,218.477997
-3.0,50,218.646634
-2.0,50,218.798734
0.0,50,218.94714
-2.0,50,219.109123
-2.0,50,219.263059
-16.0,50,219.413574
-13.0,50,220.731161
-9.0,50,222.141657
-18.0,50,223.58811
-8.0,50,224.991241
-13.0,50,226.570674
-8.0,50,227.999243
-4.0,50,229.388381
-14.0,50,230.736049
-19.0,50,232.198396
-2.0,50,233.646579
-2.0,50,233.821816
-1.0,50,233.993025
-2.0,50,234.213019
-3.0,50,234.395535
-2.0,50,234.541341
-3.0,50,234.687643
-3.0,50,234.896943
-3.0,50,235.123803
-3.0,50,235.288543
-27.0,50,235.423548
-11.0,50,236.875257
-10.0,50,238.360344
-8.0,50,239.848948
-17.0,50,241.152853
-12.0,50,242.466049
-15.0,50,243.759715
-5.0,50,245.055089
-10.0,50,246.349516
-9.0,50,247.772147
0.0,50,249.064043
-2.0,50,249.218109
-2.0,50,249.367823
-2.0,50,249.520108
0.0,50,249.664288
-2.0,50,249.811438
-2.0,50,249.965687
0.0,50,250.106559
-3.0,50,250.249354
-3.0,50,250.402787
-18.0,50,250.542651
-16.0,50,251.838666
-16.0,50,253.130975
-14.0,50,254.438957
-9.0,50,255.713156
-6.0,50,257.164622
-6.0,50,258.569788
-13.0,50,260.058444
-15.0,50,261.583236
-14.0,50,262.897005
-3.0,50,264.341266
-3.0,50,264.50899
-1.0,50,264.660696
-2.0,50,264.798349
-1.0,50,264.942816
-2.0,50,265.088269
-2.0,50,265.235039
0.0,50,265.374449
-1.0,50,265.517094
-1.0,50,265.660001
-11.0,50,265.814224
-11.0,50,267.347875
-3.0,50,268.859082
-22.0,50,270.301143
-12.0,50,271.811409
-3.0,50,273.141522
-14.0,50,274.428642
-7.0,50,275.74198
-15.0,50,277.025854
-3.0,50,278.445156
-1.0,50,279.894037
-2.0,50,280.062151
0.0,50,280.209569
-3.0,50,280.35927
0.0,50,280.525273
-3.0,50,280.72958
-2.0,50,280.87491
-3.0,50,281.067492
-2.0,50,281.246277
-3.0,50,281.396495
-10.0,50,281.531709
-10.0,50,283.21571
-15.0,50,284.74874
-20.0,50,286.382976
-13.0,50,287.699742
-23.0,50,289.020284
-13.0,50,290.348475
-3.0,50,291.639115
-8.0,50,293.077468
-7.0,50,294.508801
0.0,50,295.821716
-2.0,50,295.971684
-1.0,50,296.115579
-2.0,50,296.260856
-3.0,50,296.40483
-2.0,50,296.544519
-1.0,50,296.690918
-2.0,50,296.8351
-2.0,50,296.984013
-3.0,50,297.130501
