# {"t_start": 1652946497.5262992, "env_id": "FetchPush-v1"} 
r,l,t
-50.0,50,311.143428
-50.0,50,312.449962
-50.0,50,313.81423
-50.0,50,315.10534
-50.0,50,316.437051
-50.0,50,317.767424
-50.0,50,319.124436
-50.0,50,320.441312
-50.0,50,321.773621
0.0,50,323.083638
-50.0,50,324.405739
-50.0,50,325.748579
-50.0,50,327.128836
-50.0,50,328.444412
-50.0,50,329.772256
-50.0,50,331.128027
-50.0,50,332.451174
-50.0,50,333.737759
-50.0,50,335.062907
-50.0,50,336.478161
-50.0,50,337.792371
-50.0,50,339.121088
-50.0,50,340.495109
-50.0,50,341.847455
-50.0,50,343.153422
-50.0,50,344.488801
0.0,50,344.648183
-50.0,50,344.809176
-50.0,50,344.971726
-50.0,50,345.132621
-50.0,50,345.32334
-50.0,50,345.485786
-50.0,50,345.659624
-50.0,50,345.840341
-50.0,50,346.000589
-50.0,50,346.156696
-50.0,50,347.48848
-50.0,50,348.81382
-50.0,50,350.155411
-50.0,50,351.482337
-50.0,50,352.837469
-50.0,50,354.185031
0.0,50,355.560573
-50.0,50,356.888111
-50.0,50,358.22124
-50.0,50,359.562861
-50.0,50,360.885176
-50.0,50,362.201045
-50.0,50,363.522534
0.0,50,364.861121
-50.0,50,366.306797
-50.0,50,367.680988
-50.0,50,368.992389
-50.0,50,370.329905
-50.0,50,371.606101
-50.0,50,372.917444
-50.0,50,374.238461
-50.0,50,375.558588
-50.0,50,376.920871
-50.0,50,378.264736
-50.0,50,379.575073
-50.0,50,380.914812
-50.0,50,382.239955
-50.0,50,383.592376
-50.0,50,384.950742
-50.0,50,386.263629
-50.0,50,387.589335
-50.0,50,388.948592
-50.0,50,390.270914
-50.0,50,391.598675
-50.0,50,392.955884
-50.0,50,394.28405
-50.0,50,395.634644
-50.0,50,397.062102
-50.0,50,398.400373
-50.0,50,399.754591
-50.0,50,401.071012
0.0,50,402.417275
-50.0,50,403.765907
-50.0,50,405.099399
-50.0,50,406.433995
-50.0,50,407.772623
0.0,50,409.15192
-50.0,50,410.542064
-50.0,50,411.894095
-50.0,50,413.284449
-50.0,50,413.450472
-50.0,50,413.633664
-50.0,50,413.789654
-50.0,50,413.947116
-50.0,50,414.103579
-50.0,50,414.26241
-50.0,50,414.421326
-50.0,50,414.614809
-50.0,50,414.782959
-50.0,50,414.945843
-50.0,50,416.293584
-50.0,50,417.676957
-50.0,50,419.079894
-50.0,50,420.495953
-50.0,50,421.871531
-50.0,50,423.26089
-50.0,50,424.649359
-50.0,50,426.061665
-50.0,50,427.52931
-50.0,50,428.88898
-50.0,50,430.280106
-50.0,50,431.682833
-50.0,50,433.04391
-50.0,50,434.366072
-50.0,50,435.720385
-50.0,50,437.045346
-50.0,50,438.409736
-50.0,50,439.763081
-50.0,50,441.084185
-50.0,50,442.43057
-50.0,50,443.758392
0.0,50,445.112208
-50.0,50,446.494219
