# {"t_start": 1652815070.2656343, "env_id": "FetchSlide-v1"} 
r,l,t
-50.0,50,4.689173
-50.0,50,6.392188
-50.0,50,7.914271
-50.0,50,9.552172
-50.0,50,11.679532
-50.0,50,14.035728
-50.0,50,15.708525
-50.0,50,17.377059
-50.0,50,18.96907
-50.0,50,20.722423
-50.0,50,23.10208
-50.0,50,25.237844
-50.0,50,26.924531
-50.0,50,29.791564
-50.0,50,32.202231
-50.0,50,33.9411
-50.0,50,35.596827
-50.0,50,37.10813
-50.0,50,38.787986
-50.0,50,40.556484
-50.0,50,42.172445
-50.0,50,43.941995
-50.0,50,45.714594
-50.0,50,47.257598
-50.0,50,48.900485
-50.0,50,50.612665
-50.0,50,52.555005
-50.0,50,54.327881
-50.0,50,55.982263
-50.0,50,57.545384
-50.0,50,59.298564
-50.0,50,60.881776
-50.0,50,62.478788
-50.0,50,64.173839
-50.0,50,65.711678
-50.0,50,67.203279
-50.0,50,68.956882
-50.0,50,70.56955
-50.0,50,72.228158
-50.0,50,73.776863
-50.0,50,75.282437
-50.0,50,76.763394
-50.0,50,78.217751
-50.0,50,79.75548
-50.0,50,81.478015
-50.0,50,83.082786
-50.0,50,84.686862
-50.0,50,86.404159
-50.0,50,88.052546
-50.0,50,89.775039
-50.0,50,91.598642
-50.0,50,91.961394
-50.0,50,92.309397
-50.0,50,92.659967
-50.0,50,93.021641
-50.0,50,93.366737
-50.0,50,93.715176
-50.0,50,94.060654
-50.0,50,94.405789
-50.0,50,94.745032
-50.0,50,95.357152
-50.0,50,96.798854
-50.0,50,98.251674
-50.0,50,99.733719
-50.0,50,101.186883
-50.0,50,102.643771
-50.0,50,104.088
-50.0,50,105.526775
-50.0,50,106.985608
-50.0,50,108.502479
-50.0,50,110.147959
-50.0,50,112.047901
-50.0,50,113.631869
-50.0,50,115.291905
-50.0,50,116.875307
-50.0,50,118.443892
-50.0,50,120.219393
-50.0,50,121.918127
-50.0,50,123.615242
-50.0,50,125.315672
-50.0,50,127.098385
-50.0,50,128.73863
