# {"t_start": 1652815071.346392, "env_id": "FetchSlide-v1"} 
r,l,t
-50.0,50,3.603303
-50.0,50,5.338553
-50.0,50,6.829911
-50.0,50,8.258138
-50.0,50,10.763891
-50.0,50,13.073899
-50.0,50,14.641507
-50.0,50,16.305292
-50.0,50,17.888009
-50.0,50,19.646058
-50.0,50,21.949686
-50.0,50,24.184319
-50.0,50,25.951936
-50.0,50,28.53635
-50.0,50,31.129136
-50.0,50,32.874831
-50.0,50,34.533871
-50.0,50,36.04206
-50.0,50,37.719022
-50.0,50,39.473337
-50.0,50,41.144017
-50.0,50,42.843152
-50.0,50,44.626563
-50.0,50,46.190995
-50.0,50,47.874273
-50.0,50,49.564567
-50.0,50,51.470165
-50.0,50,53.270181
-50.0,50,54.911877
-50.0,50,56.487697
-50.0,50,58.244493
-50.0,50,59.823178
-50.0,50,61.426368
-50.0,50,63.097152
-50.0,50,64.641869
-50.0,50,66.140332
-50.0,50,67.891946
-50.0,50,69.487022
-50.0,50,71.16072
-50.0,50,72.689165
-50.0,50,74.210423
-50.0,50,75.685823
-50.0,50,77.13135
-50.0,50,78.686308
-50.0,50,80.419324
-50.0,50,82.028832
-50.0,50,83.646318
-50.0,50,85.326291
-50.0,50,86.970603
-50.0,50,88.74192
-50.0,50,90.587111
-50.0,50,90.998173
-50.0,50,91.355028
-50.0,50,91.735843
-50.0,50,92.118683
-50.0,50,92.4779
-50.0,50,92.817842
-50.0,50,93.162013
-50.0,50,93.504394
-50.0,50,93.881212
-50.0,50,94.273738
-50.0,50,95.717939
-50.0,50,97.185958
-50.0,50,98.650273
-50.0,50,100.108244
-50.0,50,101.568788
-50.0,50,103.005606
-50.0,50,104.449891
-50.0,50,105.892527
-50.0,50,107.424649
-50.0,50,109.075905
-50.0,50,110.984746
-50.0,50,112.585056
-50.0,50,114.237612
-50.0,50,115.818134
-50.0,50,117.358226
-50.0,50,119.146302
-50.0,50,120.890138
-50.0,50,122.566034
-50.0,50,124.263552
-50.0,50,126.056157
-50.0,50,127.688432
-50.0,50,129.255857
-50.0,50,130.959001
-50.0,50,133.114254
-50.0,50,135.483514
-50.0,50,137.030504
-50.0,50,138.598338
-50.0,50,140.206777
-50.0,50,141.938569
-50.0,50,143.455979
-50.0,50,145.114954
-50.0,50,146.636621
-50.0,50,148.408613
-50.0,50,150.031712
-50.0,50,151.702707
-50.0,50,153.156682
-50.0,50,154.646363
-36.0,50,156.368487
-50.0,50,157.907529
-50.0,50,159.391177
-50.0,50,160.856522
-50.0,50,162.340762
-50.0,50,163.81494
-50.0,50,165.273563
-50.0,50,166.752812
-50.0,50,168.247339
-50.0,50,169.741101
-50.0,50,171.217112
-50.0,50,172.703177
-50.0,50,174.194389
-50.0,50,174.533981
-50.0,50,174.873734
-50.0,50,175.21447
-50.0,50,175.557815
-50.0,50,175.927136
-50.0,50,176.262997
-50.0,50,176.609409
-50.0,50,176.945436
-50.0,50,177.305207
-50.0,50,177.65693
-50.0,50,179.261404
-50.0,50,180.739534
-50.0,50,182.221962
-50.0,50,183.708553
-50.0,50,185.227602
-50.0,50,186.728536
-50.0,50,188.232557
-50.0,50,189.765604
-50.0,50,191.277742
-50.0,50,192.778031
-50.0,50,194.292961
-50.0,50,195.806177
-50.0,50,197.326762
-50.0,50,198.873606
-50.0,50,200.366546
-50.0,50,201.873044
-50.0,50,203.371067
-50.0,50,204.879927
-50.0,50,206.386982
-50.0,50,207.897299
-50.0,50,209.590777
-50.0,50,211.079283
-50.0,50,212.595885
-50.0,50,214.103222
-50.0,50,215.618638
-50.0,50,217.123477
-50.0,50,218.662302
-50.0,50,220.205668
-50.0,50,221.738765
-50.0,50,223.274009
-50.0,50,224.809618
-50.0,50,226.329892
-50.0,50,227.862306
-50.0,50,229.417703
-50.0,50,230.956863
-50.0,50,232.522323
-50.0,50,234.064172
-50.0,50,235.61134
-50.0,50,237.143298
-50.0,50,238.816269
-50.0,50,240.362683
-50.0,50,241.960008
-50.0,50,243.514122
-50.0,50,245.070123
