# {"t_start": 1652815070.6562545, "env_id": "FetchSlide-v1"} 
r,l,t
-50.0,50,387.146729
-50.0,50,388.940506
-50.0,50,390.576362
-50.0,50,392.209918
-50.0,50,393.825097
-50.0,50,395.504558
-50.0,50,397.514204
-50.0,50,399.285706
-50.0,50,400.937886
-50.0,50,402.624268
-50.0,50,404.253376
-50.0,50,405.898171
-50.0,50,407.539767
-50.0,50,409.187124
-50.0,50,410.899807
-50.0,50,412.542533
-50.0,50,414.180856
-50.0,50,415.829029
-50.0,50,417.4953
-50.0,50,419.275639
-50.0,50,420.932565
-50.0,50,422.572114
-50.0,50,424.219822
-50.0,50,425.88174
-50.0,50,427.498244
-50.0,50,429.175651
-50.0,50,430.8235
-50.0,50,432.4634
-50.0,50,432.812119
-50.0,50,433.161261
-50.0,50,433.50389
-50.0,50,433.847723
-50.0,50,434.205945
-50.0,50,434.551869
-50.0,50,434.902657
-50.0,50,435.255104
-50.0,50,435.595693
-50.0,50,436.066578
-50.0,50,437.687411
-50.0,50,439.320168
-50.0,50,440.957784
-50.0,50,442.590793
-50.0,50,444.219231
-50.0,50,445.855756
-50.0,50,447.504875
-50.0,50,449.316228
-50.0,50,450.975738
-50.0,50,452.615267
-50.0,50,454.2369
-50.0,50,455.85916
-50.0,50,457.521756
-50.0,50,459.171525
-50.0,50,460.855157
-50.0,50,462.501325
-50.0,50,464.13711
-50.0,50,465.792233
-50.0,50,467.444246
-50.0,50,469.081492
-50.0,50,470.743607
-50.0,50,472.402745
-50.0,50,474.036471
-50.0,50,475.706726
-50.0,50,477.343536
-50.0,50,479.140633
-50.0,50,480.81772
-50.0,50,482.461813
-50.0,50,484.096306
-50.0,50,485.74819
-50.0,50,487.403614
-50.0,50,489.053006
-50.0,50,490.703931
-50.0,50,492.343812
-50.0,50,493.984635
-50.0,50,495.643105
-50.0,50,497.278373
-50.0,50,498.916045
-50.0,50,500.573055
-50.0,50,502.217212
-50.0,50,503.869126
-50.0,50,505.505118
-50.0,50,507.160449
-50.0,50,508.91247
-50.0,50,510.608281
-50.0,50,512.289618
-50.0,50,513.926394
-50.0,50,515.601206
-50.0,50,517.320645
-50.0,50,518.972103
-50.0,50,519.323124
-50.0,50,519.668577
-50.0,50,520.041123
-50.0,50,520.395634
-50.0,50,520.743609
-50.0,50,521.087743
-50.0,50,521.434343
-50.0,50,521.789068
-50.0,50,522.152223
-50.0,50,522.496723
-50.0,50,524.132893
-50.0,50,525.775866
-50.0,50,527.435364
-50.0,50,529.059868
-50.0,50,530.713601
-50.0,50,532.351817
-50.0,50,533.993061
-50.0,50,535.679289
-50.0,50,537.328315
-50.0,50,539.10044
-50.0,50,540.807741
-50.0,50,542.452314
-50.0,50,544.103224
-50.0,50,545.767342
-50.0,50,547.406396
-50.0,50,549.055653
-26.0,50,550.72351
-50.0,50,552.359432
-50.0,50,554.083597
-50.0,50,555.727727
-50.0,50,557.372441
-50.0,50,558.9976
-50.0,50,560.643963
-50.0,50,562.272985
-50.0,50,563.913494
-50.0,50,565.556638
-50.0,50,567.224213
-50.0,50,569.008399
-50.0,50,570.671756
-50.0,50,572.318256
-50.0,50,573.962967
-50.0,50,575.624676
-50.0,50,577.287155
-50.0,50,578.918434
-50.0,50,580.565768
-50.0,50,582.23599
-45.0,50,583.884435
-50.0,50,585.538312
-50.0,50,587.18871
-50.0,50,588.832664
-50.0,50,590.485283
-50.0,50,592.186216
-50.0,50,593.848719
-50.0,50,595.48203
-50.0,50,597.132897
-50.0,50,598.902871
-50.0,50,600.569535
-50.0,50,602.219307
-50.0,50,603.877448
-50.0,50,605.552868
-50.0,50,605.90729
-50.0,50,606.263169
-50.0,50,606.620791
-50.0,50,606.964498
-50.0,50,607.322315
-50.0,50,607.702278
-50.0,50,608.055375
-50.0,50,608.40735
-50.0,50,608.752528
-50.0,50,609.110618
-50.0,50,610.76435
-50.0,50,612.412605
-50.0,50,614.056628
-50.0,50,615.719891
-50.0,50,617.376413
-50.0,50,619.036679
-50.0,50,620.668591
-50.0,50,622.328048
-50.0,50,623.971614
-50.0,50,625.615731
-50.0,50,627.276325
-50.0,50,629.104137
-50.0,50,630.749038
-50.0,50,632.400345
-50.0,50,634.034544
-50.0,50,635.69166
-50.0,50,637.351771
-50.0,50,638.981585
-50.0,50,640.641448
-50.0,50,642.274693
-50.0,50,643.923111
-50.0,50,645.584248
-50.0,50,647.232331
-50.0,50,648.874657
-50.0,50,650.520266
-50.0,50,652.20584
-50.0,50,653.893374
-50.0,50,655.565638
-50.0,50,657.257046
-50.0,50,659.055022
-50.0,50,660.732214
-50.0,50,662.380824
-50.0,50,664.016173
-50.0,50,665.656766
-50.0,50,667.274633
-50.0,50,668.918052
-50.0,50,670.541238
-50.0,50,672.187503
-50.0,50,673.833986
-50.0,50,675.495587
-50.0,50,677.136654
-50.0,50,678.784037
-50.0,50,680.411838
-50.0,50,682.044222
-50.0,50,683.676269
-50.0,50,685.38527
-50.0,50,687.033394
-50.0,50,688.745027
-50.0,50,690.485284
-50.0,50,692.158476
-50.0,50,692.508346
-50.0,50,692.864067
-50.0,50,693.22803
-50.0,50,693.57998
-50.0,50,693.944777
-50.0,50,694.299759
-50.0,50,694.646176
-50.0,50,695.009276
-50.0,50,695.360662
-50.0,50,695.720088
-50.0,50,697.389285
-50.0,50,699.027803
-50.0,50,700.692627
-50.0,50,702.344095
-50.0,50,704.147061
-46.0,50,705.928636
-50.0,50,707.683184
-48.0,50,709.397277
-50.0,50,711.062255
-50.0,50,712.739474
-50.0,50,714.545067
-50.0,50,716.238949
-50.0,50,717.898144
-50.0,50,719.568499
-50.0,50,721.169942
-50.0,50,722.82568
-50.0,50,724.463821
-50.0,50,726.120461
-50.0,50,727.761579
-50.0,50,729.398818
-50.0,50,731.052565
-50.0,50,732.671501
-50.0,50,734.319569
-50.0,50,735.972295
-50.0,50,737.60685
-50.0,50,739.303429
-50.0,50,740.922679
-50.0,50,742.594503
-50.0,50,744.241281
-50.0,50,745.859734
-50.0,50,747.529419
-50.0,50,749.232783
-50.0,50,750.885079
-50.0,50,752.532469
-50.0,50,754.156049
-50.0,50,755.819553
-50.0,50,757.467716
-50.0,50,759.115337
-50.0,50,760.747296
-50.0,50,762.394644
-50.0,50,764.043755
-50.0,50,765.678199
-50.0,50,767.359617
-50.0,50,768.991765
-50.0,50,770.652534
-50.0,50,772.316826
-50.0,50,773.94363
-50.0,50,775.581263
-50.0,50,777.239419
-50.0,50,779.000933
-50.0,50,779.372683
-50.0,50,779.744198
-50.0,50,780.088738
-50.0,50,780.44427
-50.0,50,780.784486
-50.0,50,781.120264
-50.0,50,781.484258
-50.0,50,781.866951
-50.0,50,782.240396
-50.0,50,782.588125
-50.0,50,784.198741
-50.0,50,785.867678
-50.0,50,787.503675
-50.0,50,789.146573
-50.0,50,790.784099
-50.0,50,792.444879
-50.0,50,794.085541
-50.0,50,795.732352
-50.0,50,797.38012
-50.0,50,799.01646
-50.0,50,800.652766
-50.0,50,802.308729
-50.0,50,803.952404
-50.0,50,805.600076
-50.0,50,807.240475
-50.0,50,809.009032
-50.0,50,810.63371
-50.0,50,812.307543
-50.0,50,813.954371
-50.0,50,815.608324
-50.0,50,817.256124
-50.0,50,818.874774
-50.0,50,820.507911
-50.0,50,822.163573
-50.0,50,823.781847
-50.0,50,825.444088
-50.0,50,827.064289
-50.0,50,828.701421
-50.0,50,830.318871
-50.0,50,831.938049
-50.0,50,833.60139
-50.0,50,835.227138
-50.0,50,836.893339
0.0,50,838.536823
-50.0,50,840.29626
-50.0,50,841.944408
-50.0,50,843.592594
