,Epoch,TestEpRew,TestSuccessRate
244,245,-45.0,0.1
245,246,-45.0,0.1
246,247,-50.0,0.0
247,248,-45.0,0.1
248,249,-50.0,0.0
249,250,-45.0,0.1
250,251,-45.0,0.1
251,252,-50.0,0.0
252,253,-50.0,0.0
253,254,-50.0,0.0
254,255,-45.0,0.1
255,256,-50.0,0.0
256,257,-50.0,0.0
257,258,-45.0,0.1
258,259,-45.0,0.1
259,260,-50.0,0.0
260,261,-50.0,0.0
261,262,-50.0,0.0
262,263,-40.0,0.2
263,264,-50.0,0.0
264,265,-40.0,0.2
265,266,-50.0,0.0
266,267,-50.0,0.0
267,268,-50.0,0.0
268,269,-45.0,0.1
269,270,-40.0,0.2
270,271,-50.0,0.0
271,272,-45.0,0.1
272,273,-50.0,0.0
273,274,-45.0,0.1
274,275,-45.0,0.1
275,276,-45.0,0.1
276,277,-45.0,0.1
277,278,-40.0,0.2
278,279,-50.0,0.0
279,280,-45.0,0.1
280,281,-50.0,0.0
281,282,-45.0,0.1
282,283,-50.0,0.0
283,284,-50.0,0.0
284,285,-40.0,0.2
285,286,-50.0,0.0
286,287,-45.0,0.1
287,288,-40.0,0.2
288,289,-40.0,0.2
289,290,-50.0,0.0
290,291,-50.0,0.0
291,292,-50.0,0.0
292,293,-50.0,0.0
293,294,-50.0,0.0
294,295,-45.0,0.1
295,296,-50.0,0.0
296,297,-45.0,0.1
297,298,-40.0,0.2
298,299,-50.0,0.0
299,300,-50.0,0.0
300,301,-50.0,0.0
301,302,-40.0,0.2
302,303,-50.0,0.0
303,304,-40.0,0.2
304,305,-50.0,0.0
305,306,-45.0,0.1
306,307,-50.0,0.0
307,308,-40.0,0.2
308,309,-45.0,0.1
309,310,-45.0,0.1
310,311,-50.0,0.0
311,312,-40.0,0.2
312,313,-45.0,0.1
313,314,-45.0,0.1
314,315,-50.0,0.0
315,316,-40.0,0.2
316,317,-45.0,0.1
317,318,-45.0,0.1
318,319,-50.0,0.0
319,320,-50.0,0.0
320,321,-45.0,0.1
321,322,-50.0,0.0
322,323,-50.0,0.0
323,324,-50.0,0.0
324,325,-50.0,0.0
325,326,-50.0,0.0
326,327,-45.0,0.1
327,328,-50.0,0.0
328,329,-50.0,0.0
329,330,-45.0,0.1
330,331,-45.0,0.1
331,332,-50.0,0.0
332,333,-45.0,0.1
333,334,-50.0,0.0
334,335,-45.0,0.1
335,336,-50.0,0.0
336,337,-45.0,0.1
337,338,-40.0,0.2
338,339,-45.0,0.1
339,340,-45.0,0.1
340,341,-45.0,0.1
341,342,-50.0,0.0
342,343,-40.0,0.2
343,344,-45.0,0.1
344,345,-45.0,0.1
345,346,-50.0,0.0
346,347,-50.0,0.0
347,348,-50.0,0.0
348,349,-45.0,0.1
349,350,-45.0,0.1
350,351,-45.0,0.1
351,352,-50.0,0.0
352,353,-45.0,0.1
353,354,-50.0,0.0
354,355,-50.0,0.0
355,356,-35.0,0.3
356,357,-40.0,0.2
357,358,-45.0,0.1
358,359,-45.0,0.1
359,360,-45.0,0.1
360,361,-45.0,0.1
361,362,-50.0,0.0
362,363,-45.0,0.1
363,364,-50.0,0.0
364,365,-45.0,0.1
365,366,-50.0,0.0
366,367,-40.0,0.2
367,368,-50.0,0.0
368,369,-50.0,0.0
369,370,-50.0,0.0
370,371,-45.0,0.1
371,372,-40.0,0.2
372,373,-45.0,0.1
373,374,-50.0,0.0
374,375,-50.0,0.0
375,376,-50.0,0.0
376,377,-50.0,0.0
377,378,-45.0,0.1
378,379,-45.0,0.1
379,380,-50.0,0.0
380,381,-50.0,0.0
381,382,-50.0,0.0
382,383,-45.0,0.1
383,384,-45.0,0.1
384,385,-40.0,0.2
385,386,-40.0,0.2
386,387,-40.0,0.2
387,388,-40.0,0.2
388,389,-50.0,0.0
389,390,-50.0,0.0
390,391,-45.0,0.1
391,392,-45.0,0.1
392,393,-50.0,0.0
393,394,-50.0,0.0
394,395,-50.0,0.0
395,396,-45.0,0.1
396,397,-50.0,0.0
397,398,-45.0,0.1
398,399,-50.0,0.0
399,400,-50.0,0.0
